站点名,经度,纬度,海拔高度,时间,平均气温
﻿巍山,100.29,25.26,1742.1,2020年01月01日00:00,10.1
﻿大姚,101.32,25.72,1878.1,2020年01月01日00:00,10.7
﻿元谋,101.87,25.73,1120.6,2020年01月01日00:00,15.4
﻿姚安,101.23,25.53,1873.5,2020年01月01日00:00,10.6
﻿牟定,101.52,25.31,1822,2020年01月01日00:00,10.4
﻿南华,101.26,25.21,1905.4,2020年01月01日00:00,9.1
﻿楚雄,101.55,25.03,1824.1,2020年01月01日00:00,11.4
﻿富民,102.5,25.23,1692.7,2020年01月01日00:00,10.7
﻿武定,102.42,25.5,1799.1,2020年01月01日00:00,11.1
﻿禄劝,102.45,25.55,1750.9,2020年01月01日00:00,10.4
﻿禄丰,102.1,25.11,1671.4,2020年01月01日00:00,10.5
﻿昆明,102.65,25,1888.1,2020年01月01日00:00,11
﻿寻甸,103.27,25.52,1865.8,2020年01月01日00:00,10.6
﻿马龙,103.57,25.43,2067.1,2020年01月01日00:00,10.1
﻿曲靖,103.8,25.5,1906.2,2020年01月01日00:00,12.3
﻿嵩明,103.08,25.36,1915.7,2020年01月01日00:00,10.7
﻿沾益,103.82,25.6,1891.5,2020年01月01日00:00,11.7
﻿陆良,103.62,24.98,1857.6,2020年01月01日00:00,11.3
﻿富源,104.25,25.68,1925.8,2020年01月01日00:00,11.4
﻿城关,104.65,25.78,1512,2020年01月01日00:00,13
﻿普安,104.97,25.78,1649.4,2020年01月01日00:00,12
﻿盘县,104.53,25.75,2125.9,2020年01月01日00:00,10.7
﻿高黎贡山,98.77,24.83,2188,2020年01月01日00:00,7.7
﻿陇川,97.78,24.17,990.8,2020年01月01日00:00,13.4
﻿盈江,97.95,24.7,826.7,2020年01月01日00:00,14.6
﻿瑞丽,97.85,24,762.9,2020年01月01日00:00,14.9
﻿镇康,98.82,23.76,1053.8,2020年01月01日00:00,14.2
﻿粱河,98.26,24.8,1124.8,2020年01月01日00:00,12.6
﻿龙陵,98.69,24.62,1630.6,2020年01月01日00:00,10.6
﻿施甸,99.18,24.73,1471.2,2020年01月01日00:00,12.2
﻿昌宁,99.62,24.8,1666.9,2020年01月01日00:00,9
﻿芒市,98.58,24.43,913.8,2020年01月01日00:00,14.7
﻿凤庆,99.93,24.58,1569,2020年01月01日00:00,11.9
﻿永德,99.23,24.03,1606.2,2020年01月01日00:00,12.6
﻿南涧,100.52,25.04,1377.2,2020年01月01日00:00,12.8
﻿云县,100.13,24.45,1108.6,2020年01月01日00:00,14.6
﻿景东,100.86,24.44,1162.3,2020年01月01日00:00,13.2
﻿双柏,101.6,24.68,1968.1,2020年01月01日00:00,11.1
﻿安宁,102.5,24.92,1893.4,2020年01月01日00:00,11
﻿镇沅,101.12,23.99,1105.4,2020年01月01日00:00,14.1
﻿新平,101.97,24.07,1497.5,2020年01月01日00:00,13.5
﻿易门,102.18,24.66,1600.9,2020年01月01日00:00,11.4
﻿晋宁,102.57,24.68,1979.2,2020年01月01日00:00,11.5
﻿太华山,102.62,24.96,2358.3,2020年01月01日00:00,8.8
﻿澄江,102.92,24.68,1796.3,2020年01月01日00:00,13.1
﻿玉溪,102.55,24.33,1716.9,2020年01月01日00:00,12.3
﻿江川,102.76,24.29,1731.1,2020年01月01日00:00,12.4
﻿通海,102.75,24.13,1801.8,2020年01月01日00:00,12.5
﻿华宁,102.91,24.19,1702.6,2020年01月01日00:00,12.6
﻿宜良,103.14,24.89,1639.5,2020年01月01日00:00,13.7
﻿石林,103.26,24.75,1695.8,2020年01月01日00:00,13.2
﻿呈贡,102.83,24.91,1976.6,2020年01月01日00:00,11.8
﻿师宗,103.98,24.82,1900.9,2020年01月01日00:00,11
﻿弥勒,103.45,24.4,1415.5,2020年01月01日00:00,14.2
﻿泸西,103.77,24.53,1704.3,2020年01月01日00:00,12.5
﻿丘北,104.18,24.04,1518.7,2020年01月01日00:00,15.1
﻿罗平,104.32,24.88,1482.7,2020年01月01日00:00,13
﻿峨山,102.41,24.18,1600,2020年01月01日00:00,12.1
﻿沧源,99.27,23.15,1278.3,2020年01月01日00:00,13.5
﻿耿马,99.39,23.53,1144.1,2020年01月01日00:00,13.4
﻿西盟,99.64,22.64,1245.4,2020年01月01日00:00,15.3
﻿孟连,99.6,22.31,1079.9,2020年01月01日00:00,16.1
﻿双江,99.8,23.47,1044.1,2020年01月01日00:00,14.7
﻿临沧,100.12,23.88,1636.1,2020年01月01日00:00,12
﻿景谷,100.72,23.5,979.2,2020年01月01日00:00,14.8
﻿澜沧,99.93,22.57,1054.8,2020年01月01日00:00,15.7
﻿景迈,100.01,22.2,1627,2020年01月01日00:00,15.2
﻿勐海,100.47,21.96,1222.8,2020年01月01日00:00,15
﻿景洪,100.78,22.01,582,2020年01月01日00:00,19.8
﻿宁洱,101.05,23.03,1336.9,2020年01月01日00:00,13.8
﻿墨江,101.67,23.46,1366,2020年01月01日00:00,13.3
﻿磨盘山,101.99,23.94,2494,2020年01月01日00:00,8.1
﻿思茅,100.96,22.79,1302.1,2020年01月01日00:00,15.6
﻿元江,101.97,23.63,506.8,2020年01月01日00:00,20.2
﻿南糯山,100.6,21.95,1630,2020年01月01日00:00,15.5
﻿勐腊,101.58,21.47,633.4,2020年01月01日00:00,18.6
﻿石屏,102.47,23.72,1478.5,2020年01月01日00:00,14.1
﻿建水,102.83,23.62,1309.3,2020年01月01日00:00,16.1
﻿红河,102.43,23.37,974.5,2020年01月01日00:00,17.8
﻿元阳,102.82,23.23,312.3,2020年01月01日00:00,21.2
﻿江城,101.86,22.61,1269.8,2020年01月01日00:00,15.5
﻿绿春,102.42,23,1642.8,2020年01月01日00:00,14.8
﻿开远,103.29,23.72,1195.5,2020年01月01日00:00,17.3
﻿个旧,103.15,23.39,1848.8,2020年01月01日00:00,13.1
﻿蒙自,103.33,23.44,1313.6,2020年01月01日00:00,16.4
﻿屏边,103.68,22.98,1414.1,2020年01月01日00:00,13.9
﻿金平,103.23,22.78,1260,2020年01月01日00:00,16.2
﻿河口,103.95,22.5,137.8,2020年01月01日00:00,21
﻿砚山,104.34,23.6,1561.1,2020年01月01日00:00,14.2
﻿西畴,104.68,23.44,1507.5,2020年01月01日00:00,13.8
﻿文山,104.28,23.33,1293.5,2020年01月01日00:00,15.8
﻿马关,104.4,23.02,1332.9,2020年01月01日00:00,15.3
﻿麻栗坡,104.7,23.13,1093.4,2020年01月01日00:00,15.3
﻿三门峡,111.24,34.72,575.6,2020年01月01日00:00,0.2
﻿灵宝,110.86,34.54,484.5,2020年01月01日00:00,1.1
﻿渑池,111.76,34.75,542,2020年01月01日00:00,0.2
﻿宜阳,112.13,34.55,317.5,2020年01月01日00:00,1.4
﻿洛宁,111.67,34.4,408.2,2020年01月01日00:00,1.6
﻿卢氏,111.07,34.08,658.5,2020年01月01日00:00,0.6
﻿新安,112.12,34.74,364,2020年01月01日00:00,1.2
﻿孟津,112.47,34.8,329.1,2020年01月01日00:00,1.3
﻿孟州,112.76,34.91,127.5,2020年01月01日00:00,1.5
﻿伊川,112.4,34.42,252.2,2020年01月01日00:00,1.3
﻿汝州,112.89,34.24,438.6,2020年01月01日00:00,1.3
﻿偃师,112.79,34.74,189.5,2020年01月01日00:00,1.8
﻿栾川,111.66,33.78,742.4,2020年01月01日00:00,0.7
﻿汝阳,112.47,34.16,336.5,2020年01月01日00:00,1.7
﻿温县,113.04,34.95,106.4,2020年01月01日00:00,1.9
﻿巩义,112.97,34.74,165.2,2020年01月01日00:00,1.7
﻿荥阳,113.4,34.79,140.9,2020年01月01日00:00,2
﻿登封,113.01,34.46,427.1,2020年01月01日00:00,1
﻿郑州,113.66,34.71,110.4,2020年01月01日00:00,2.2
﻿嵩山,113.05,34.49,1178.4,2020年01月01日00:00,-2.9
﻿新密,113.34,34.54,259.9,2020年01月01日00:00,1.6
﻿新郑,113.72,34.38,116.6,2020年01月01日00:00,1.9
﻿长葛,113.74,34.27,104.1,2020年01月01日00:00,1.7
﻿禹州,113.5,34.19,146,2020年01月01日00:00,2.2
﻿许昌,113.93,34.07,67.2,2020年01月01日00:00,1.5
﻿中牟,113.97,34.71,78.1,2020年01月01日00:00,2.1
﻿开封,114.29,34.8,73.7,2020年01月01日00:00,2
﻿兰考,114.82,34.84,73.3,2020年01月01日00:00,1.3
﻿尉氏,114.22,34.4,67.4,2020年01月01日00:00,1.6
﻿鄢陵,114.16,34.11,61.1,2020年01月01日00:00,1.3
﻿杞县,114.78,34.54,59.7,2020年01月01日00:00,1.4
﻿扶沟,114.41,34.08,58.3,2020年01月01日00:00,1.5
﻿太康,114.85,34.07,52.6,2020年01月01日00:00,2
﻿西峡,111.49,33.31,250.3,2020年01月01日00:00,3.8
﻿嵩县,112.07,34.14,440.7,2020年01月01日00:00,1.1
﻿内乡,111.88,33.15,221.2,2020年01月01日00:00,3.3
﻿平顶山,113.12,33.77,142,2020年01月01日00:00,2.6
﻿鲁山,112.89,33.76,145.7,2020年01月01日00:00,2.5
﻿镇平,112.24,33.08,239.7,2020年01月01日00:00,3.1
﻿南召,112.46,33.43,244,2020年01月01日00:00,2.7
﻿舞钢,113.54,33.34,89.8,2020年01月01日00:00,2.5
﻿南阳,112.49,33.1,180.6,2020年01月01日00:00,2.9
﻿方城,112.99,33.28,164.3,2020年01月01日00:00,2.5
﻿郏县,113.21,34.02,184.2,2020年01月01日00:00,2.5
﻿宝丰,113.04,33.87,136.4,2020年01月01日00:00,2.5
﻿襄城,113.52,33.85,80.4,2020年01月01日00:00,2.3
﻿临颍,113.93,33.8,60,2020年01月01日00:00,2.1
﻿叶县,113.3,33.63,97.5,2020年01月01日00:00,2.1
﻿舞阳,113.59,33.46,91.1,2020年01月01日00:00,2.2
﻿漯河,114.06,33.6,58.7,2020年01月01日00:00,2.3
﻿社旗,112.96,33.03,116.8,2020年01月01日00:00,3
﻿西平,114.04,33.37,55.9,2020年01月01日00:00,2.4
﻿遂平,113.96,33.15,64.6,2020年01月01日00:00,2.3
﻿黄泛区,114.42,33.74,50.5,2020年01月01日00:00,2
﻿通许,114.47,34.51,64.2,2020年01月01日00:00,1.4
﻿淮阳,114.88,33.71,44.3,2020年01月01日00:00,2.4
﻿西华,114.52,33.78,52.6,2020年01月01日00:00,2.6
﻿上蔡,114.3,33.27,53.4,2020年01月01日00:00,2.6
﻿川汇区,114.63,33.61,46.6,2020年01月01日00:00,3
﻿项城,114.87,33.41,43.6,2020年01月01日00:00,2.9
﻿汝南,114.35,32.96,50.1,2020年01月01日00:00,3
﻿商水,114.56,33.49,44.6,2020年01月01日00:00,2.4
﻿淅川,111.52,33.12,248.4,2020年01月01日00:00,3.7
﻿新野,112.38,32.52,87.7,2020年01月01日00:00,3.2
﻿唐河,112.8,32.73,96.7,2020年01月01日00:00,3.4
﻿邓州,111.98,32.7,120,2020年01月01日00:00,3.2
﻿泌阳,113.3,32.68,160.8,2020年01月01日00:00,2.6
﻿桐柏,113.4,32.36,183.6,2020年01月01日00:00,2.3
﻿驻马店,113.91,32.94,106.2,2020年01月01日00:00,2.5
﻿平舆,114.61,32.9,44.9,2020年01月01日00:00,3
﻿新蔡,114.98,32.74,38,2020年01月01日00:00,3.4
﻿确山,113.95,32.8,113.7,2020年01月01日00:00,2.6
﻿正阳,114.33,32.62,85,2020年01月01日00:00,2.7
﻿息县,114.66,32.34,34.2,2020年01月01日00:00,3
﻿信阳,114.04,32.14,114.5,2020年01月01日00:00,3.3
﻿罗山,114.55,32.22,55.4,2020年01月01日00:00,3.4
﻿光山,114.89,32.01,49.4,2020年01月01日00:00,3.5
﻿鸡公山,114.07,31.8,733.5,2020年01月01日00:00,-0.4
﻿新县,114.87,31.64,128.7,2020年01月01日00:00,3.1
﻿桐梓,106.83,28.13,972,2020年01月01日00:00,6.8
﻿赤水,105.71,28.56,354.6,2020年01月01日00:00,9.8
﻿习水,106.22,28.33,1180.2,2020年01月01日00:00,5.4
﻿天坪,106.79,28.57,982,2020年01月01日00:00,5.6
﻿道真,107.6,28.88,685.6,2020年01月01日00:00,7.1
﻿正安,107.46,28.54,816.4,2020年01月01日00:00,6.1
﻿务川,107.89,28.52,660.3,2020年01月01日00:00,6.4
﻿沿河,108.5,28.56,503.2,2020年01月01日00:00,6.5
﻿德江,108.1,28.25,629.5,2020年01月01日00:00,5.7
﻿梵净山,108.69,27.91,2255,2020年01月01日00:00,4
﻿松桃,109.19,28.16,406.1,2020年01月01日00:00,5.8
﻿毕节,105.29,27.3,1510.6,2020年01月01日00:00,6.1
﻿大方,105.6,27.13,1721.5,2020年01月01日00:00,5.6
﻿百里杜鹃,105.88,27.2,1730,2020年01月01日00:00,5.2
﻿仁怀,106.4,27.8,890.3,2020年01月01日00:00,7.1
﻿汇川,106.95,27.73,983.5,2020年01月01日00:00,6.2
﻿遵义,106.88,27.7,843.9,2020年01月01日00:00,7.3
﻿金沙,106.23,27.47,942,2020年01月01日00:00,6.9
﻿遵义县,106.83,27.53,974.1,2020年01月01日00:00,6.1
﻿息烽,106.72,27.1,1112.1,2020年01月01日00:00,6.5
﻿开阳,106.91,27.09,1294,2020年01月01日00:00,5.8
﻿绥阳,107.18,27.96,889.3,2020年01月01日00:00,6.4
﻿湄潭,107.51,27.78,807.6,2020年01月01日00:00,5.5
﻿凤冈,107.72,27.98,710.2,2020年01月01日00:00,5.8
﻿瓮安,107.46,27.04,1129.6,2020年01月01日00:00,6.2
﻿余庆,107.88,27.23,622.1,2020年01月01日00:00,8.1
﻿思南,108.25,27.93,574.9,2020年01月01日00:00,6.2
﻿印江,108.4,28.01,521.5,2020年01月01日00:00,6.7
﻿石阡,108.23,27.57,467.5,2020年01月01日00:00,8
﻿岑巩,108.82,27.18,423,2020年01月01日00:00,5.6
﻿江口,108.85,27.72,493.7,2020年01月01日00:00,4.7
﻿施秉,108.12,27.03,547.3,2020年01月01日00:00,7.2
﻿镇远,108.42,27.05,516.3,2020年01月01日00:00,6.2
﻿玉屏,108.92,27.24,394.8,2020年01月01日00:00,5.7
﻿铜仁,109.17,27.71,353.2,2020年01月01日00:00,5.5
﻿万山,109.21,27.52,884.3,2020年01月01日00:00,2.3
﻿纳雍,105.37,26.77,1457.1,2020年01月01日00:00,8.4
﻿黔西,106.02,27.02,1322,2020年01月01日00:00,6.8
﻿牂牁江,105.18,26.15,779,2020年01月01日00:00,16
﻿织金,105.77,26.68,1319.3,2020年01月01日00:00,9.1
﻿安顺,105.9,26.25,1431.1,2020年01月01日00:00,9
﻿六枝,105.46,26.22,1407.3,2020年01月01日00:00,10
﻿普定,105.74,26.31,1281.8,2020年01月01日00:00,10.2
﻿镇宁,105.75,26.07,1251,2020年01月01日00:00,11
﻿修文,106.6,26.83,1296.7,2020年01月01日00:00,7.4
﻿清镇,106.47,26.58,1300,2020年01月01日00:00,8.2
﻿平坝,106.27,26.42,1298.2,2020年01月01日00:00,8.8
﻿贵阳,106.73,26.58,1223.8,2020年01月01日00:00,8.1
﻿长顺,106.44,26.01,1186.9,2020年01月01日00:00,10
﻿摆榜,106.91,25.99,1379,2020年01月01日00:00,8.6
﻿福泉,107.5,26.7,925,2020年01月01日00:00,7.2
﻿黄平,107.9,26.9,825,2020年01月01日00:00,6
﻿贵定,107.25,26.59,1056.2,2020年01月01日00:00,8.2
﻿凯里,107.98,26.6,720.3,2020年01月01日00:00,7.4
﻿都匀,107.53,26.32,969.1,2020年01月01日00:00,7.5
﻿麻江,107.58,26.5,983.8,2020年01月01日00:00,6.9
﻿丹寨,107.8,26.2,963.2,2020年01月01日00:00,6.9
﻿雷公山,108.2,26.39,2129,2020年01月01日00:00,6.2
﻿三穗,108.67,26.97,626.9,2020年01月01日00:00,5.3
﻿台江,108.3,26.68,641.3,2020年01月01日00:00,7.7
﻿剑河,108.43,26.73,527.2,2020年01月01日00:00,7.8
﻿朗洞,108.56,26.36,653,2020年01月01日00:00,8.1
﻿雷山,108.07,26.4,839,2020年01月01日00:00,8.5
﻿黎平,109.13,26.23,568.8,2020年01月01日00:00,6.9
﻿天柱,109.2,26.9,401.4,2020年01月01日00:00,6.4
﻿锦屏,109.26,26.51,476.2,2020年01月01日00:00,6.5
﻿晴隆,105.22,25.83,1552.7,2020年01月01日00:00,11.8
﻿兴仁,105.18,25.43,1378.5,2020年01月01日00:00,13.4
﻿关岭,105.6,25.94,1142,2020年01月01日00:00,11.8
﻿贞丰,105.61,25.4,1184.9,2020年01月01日00:00,12.4
﻿望谟,106.08,25.18,566.8,2020年01月01日00:00,15.5
﻿兴义,104.9,25.08,1299.6,2020年01月01日00:00,14
﻿安龙,105.48,25.12,1394.5,2020年01月01日00:00,12.9
﻿册亨,105.82,24.98,584.8,2020年01月01日00:00,15.4
﻿紫云,106.08,25.77,1197.6,2020年01月01日00:00,11.4
﻿白云,106.67,26.68,1323,2020年01月01日00:00,7.8
﻿惠水,106.63,26.13,990.9,2020年01月01日00:00,10.5
﻿龙里,106.98,26.45,1093.7,2020年01月01日00:00,9.7
﻿花溪,106.67,26.42,1149,2020年01月01日00:00,9.2
﻿乌当,106.77,26.63,1104,2020年01月01日00:00,8.7
﻿罗甸,106.77,25.43,440.3,2020年01月01日00:00,14.3
﻿平塘,107.34,25.85,821.4,2020年01月01日00:00,10.1
﻿独山,107.54,25.83,1013.3,2020年01月01日00:00,8.9
﻿三都,107.87,25.98,452,2020年01月01日00:00,10.9
﻿荔波,107.88,25.42,428.7,2020年01月01日00:00,11.9
﻿榕江,108.52,25.93,285.7,2020年01月01日00:00,10.8
﻿从江,108.91,25.76,258.1,2020年01月01日00:00,10.4
﻿睢县,115.1,34.43,56.3,2020年01月01日00:00,1.2
﻿民权,115.19,34.62,61.6,2020年01月01日00:00,1.2
﻿商丘,115.54,34.44,50.8,2020年01月01日00:00,1.2
﻿虞城,115.88,34.39,46.3,2020年01月01日00:00,1.8
﻿柘城,115.36,34.1,45.7,2020年01月01日00:00,1.9
﻿宁陵,115.32,34.49,55.8,2020年01月01日00:00,1.4
﻿夏邑,116.15,34.28,42.6,2020年01月01日00:00,1.9
﻿郸城,115.14,33.63,42.4,2020年01月01日00:00,2.6
﻿鹿邑,115.49,33.88,41.3,2020年01月01日00:00,2.4
﻿沈丘,115.05,33.4,41.2,2020年01月01日00:00,2.8
﻿永城,116.42,33.86,32.1,2020年01月01日00:00,2.7
﻿淮滨,115.42,32.47,34.9,2020年01月01日00:00,3.6
﻿潢川,115.05,32.16,42.8,2020年01月01日00:00,3.5
﻿固始,115.62,32.17,42.9,2020年01月01日00:00,3.7
﻿商城,115.39,31.82,92.1,2020年01月01日00:00,3.5
﻿广南,105.05,24.05,1249.6,2020年01月01日00:00,15.1
﻿富宁,105.63,23.63,685.8,2020年01月01日00:00,17.6
﻿关累港口,101.13,21.68,452,2020年01月01日00:00,20
﻿永仁,98.87,28.19,1927,2020年01月01日00:00,7.7
﻿达日,99.18,28.59,2073,2020年01月01日00:00,9.1
﻿上该通,99.43,27.73,2179,2020年01月01日00:00,5.9
﻿施坝,99.26,27.77,2236,2020年01月01日00:00,4.7
﻿阿东,98.87,28.59,2810,2020年01月01日00:00,2.6
﻿土官村,99.96,27.37,2620,2020年01月01日00:00,2.6
﻿巴拉格宗,99.45,28.3,2260,2020年01月01日00:00,5.3
﻿岩落村,100.19,27.86,2355,2020年01月01日00:00,7.8
﻿日先永河,99.75,28.24,3048,2020年01月01日00:00,0
﻿哈巴村,100.14,27.38,2648,2020年01月01日00:00,5.4
﻿美华村,100.04,24.87,1970,2020年01月01日00:00,11.4
﻿鲁家山村,100.02,24.83,2130,2020年01月01日00:00,10.1
﻿马庄村,99.92,24.72,1970,2020年01月01日00:00,10.8
﻿安石村,99.88,24.63,1890,2020年01月01日00:00,10.7
﻿新塘房,100.07,24.17,1010,2020年01月01日00:00,13.4
﻿五老山,100.18,23.91,2240,2020年01月01日00:00,7.6
﻿鸭子塘水库,100.18,24.01,2190,2020年01月01日00:00,8.5
﻿小铺子,100.1,23.93,1367,2020年01月01日00:00,12.1
﻿遮奈,100.05,24.07,1184,2020年01月01日00:00,13.9
﻿多依,99.92,23.92,1849,2020年01月01日00:00,10.2
﻿采花坝,100.04,23.88,1870,2020年01月01日00:00,10.8
﻿昔本,100.06,23.8,1645,2020年01月01日00:00,10.6
﻿曼岗,100.35,23.96,822,2020年01月01日00:00,13.2
﻿璋珍,100.3,23.86,1830,2020年01月01日00:00,13.3
﻿全河,100.22,23.84,803,2020年01月01日00:00,12.1
﻿坝密河,100.15,23.73,1657,2020年01月01日00:00,10.6
﻿细博,100.15,23.64,1164,2020年01月01日00:00,13.4
﻿宁安,100.08,23.56,1836,2020年01月01日00:00,10.6
﻿圈内乡政府,100.1,23.63,1785,2020年01月01日00:00,10.1
﻿永平,100.32,23.6,1107,2020年01月01日00:00,12.8
﻿那玉,100.24,23.65,1719,2020年01月01日00:00,13.2
﻿临翔区遮奈,100.8,23.97,1332,2020年01月01日00:00,12.4
﻿官山,100.16,23.55,1041,2020年01月01日00:00,14.5
﻿华叶庄园,100.05,23.7,1851.5,2020年01月01日00:00,10.2
﻿昔归,100.4,23.92,994.6,2020年01月01日00:00,14.2
﻿小黑江,99.78,23.39,894,2020年01月01日00:00,14.7
﻿章外,99.97,23.54,1825,2020年01月01日00:00,12.5
﻿勐库冰岛,99.9,23.79,1697,2020年01月01日00:00,11.9
﻿茶叶林,98.9,24,1021,2020年01月01日00:00,13.4
﻿王氏坚果庄园,98.89,23.81,1330,2020年01月01日00:00,13.9
﻿罗坪村水库,104.06,28.38,1328,2020年01月01日00:00,4.1
﻿邵女坪,104.29,28.63,416,2020年01月01日00:00,10.6
﻿青坪栈,104.26,28.5,415,2020年01月01日00:00,9.8
﻿楼坝,104.35,28.56,335,2020年01月01日00:00,10.1
﻿老街,104.84,27.75,1405,2020年01月01日00:00,4.6
﻿沟边,104.96,27.49,1554,2020年01月01日00:00,5.9
﻿渡船坝,104.73,27.58,1034,2020年01月01日00:00,7.9
﻿小河街,104.16,28.25,382,2020年01月01日00:00,10.6
﻿温竹村,100.5,24.69,1754,2020年01月01日00:00,12.3
﻿保甸村,100.52,24.57,1175,2020年01月01日00:00,14.2
﻿坡头村,101.17,24.2,1150,2020年01月01日00:00,12.7
﻿龙洞村,100.56,24.41,1885,2020年01月01日00:00,11.6
﻿昆岗村,101.08,24.34,1948,2020年01月01日00:00,11.2
﻿公平村,100.65,24.4,1941,2020年01月01日00:00,11
﻿芹菜塘,100.73,24.26,1898,2020年01月01日00:00,9.3
﻿岩头村,100.65,24.46,1705,2020年01月01日00:00,12.5
﻿丙拐村,100.58,24.27,2055,2020年01月01日00:00,10.7
﻿南岸村,100.86,24.67,1449,2020年01月01日00:00,11.4
﻿高峰,100.79,24.32,2447,2020年01月01日00:00,7.8
﻿垭口村,100.85,24.57,1786,2020年01月01日00:00,11.8
﻿沙拉村,100.71,24.72,1480,2020年01月01日00:00,12
